Stadium;Date;Event;Race;Distance;Rank;Nr;Name;Country;Pair;Lane;Time;Behind;Gender;SeasonalBest;EstimatedTFM;EstimatedTFMBuffer
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;5000m_Men_Division_B;5000;1.0;98;Peder_Kongshaug;NOR;8;O;6:08.827;0.000;Men;;3360;3420
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;5000m_Men_Division_B;5000;2.0;53;Fridtjof_Petzold;GER;6;I;6:10.982;2.155;Men;;2400;2460
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;5000m_Men_Division_B;5000;3.0;89;Marwin_Talsma;NED;7;O;6:11.840;3.013;Men;;2880;2940
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;5000m_Men_Division_B;5000;4.0;61;Riccardo_Lorello;ITA;8;O;6:12.019;3.192;Men;;3360;3420
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;5000m_Men_Division_B;5000;5.0;60;Andrea_Giovannini;ITA;8;I;6:12.597;3.770;Men;;3360;3420
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;5000m_Men_Division_B;5000;6.0;96;Sigurd_Henriksen;NOR;8;I;6:13.576;4.749;Men;;3360;3420
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;5000m_Men_Division_B;5000;7.0;26;Hanbin_Liu;CHN;6;O;6:13.604;4.777;Men;;2400;2460
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;5000m_Men_Division_B;5000;8.0;121;Ethan_Cepuran;USA;5;I;6:14.389;5.562;Men;;1920;1980
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;5000m_Men_Division_B;5000;9.0;71;Riku_Tsuchiya;JPN;7;I;6:14.607;5.780;Men;;2880;2940
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;5000m_Men_Division_B;5000;10.0;103;Kristian Gamme_Ulekleiv;NOR;7;O;6:15.804;6.977;Men;;2880;2940
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;5000m_Men_Division_B;5000;11.0;110;Szymon_Palka;POL;5;O;6:16.163;7.336;Men;;1920;1980
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;5000m_Men_Division_B;5000;12.0;44;Germain_Deschamps;FRA;2;I;6:16.223;7.396;Men;;480;540
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;5000m_Men_Division_B;5000;13.0;117;Thibault_Métraux;SUI;4;O;6:18.656;9.829;Men;;1440;1500
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;5000m_Men_Division_B;5000;14.0;69;Shomu_Sasaki;JPN;5;O;6:18.949;10.122;Men;;1920;1980
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;5000m_Men_Division_B;5000;15.0;95;Hallgeir_Engebråten;NOR;7;I;6:19.769;10.942;Men;;2880;2940
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;5000m_Men_Division_B;5000;16.0;118;Livio_Wenger;SUI;6;I;6:19.995;11.168;Men;;2400;2460
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;5000m_Men_Division_B;5000;17.0;4;Jason_Suttels;BEL;4;I;6:20.002;11.175;Men;;1440;1500
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;5000m_Men_Division_B;5000;18.0;47;Giovanni_Trebouta;FRA;3;I;6:20.934;12.107;Men;;960;1020
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;5000m_Men_Division_B;5000;19.0;66;Taiyo_Morino;JPN;5;I;6:21.024;12.197;Men;;1920;1980
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;5000m_Men_Division_B;5000;20.0;13;Daniel_Hall;CAN;3;O;6:21.903;13.076;Men;;960;1020
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;5000m_Men_Division_B;5000;21.0;63;Motonaga_Arito;JPN;4;I;6:22.270;13.443;Men;;1440;1500
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;5000m_Men_Division_B;5000;22.0;20;Zhenlong_Cong;CHN;4;O;6:24.824;15.997;Men;;1440;1500
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;5000m_Men_Division_B;5000;23.0;23;Alemasi_Kahanbai;CHN;3;I;6:27.216;18.389;Men;;960;1020
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;5000m_Men_Division_B;5000;24.0;124;Jonathan_Kuck;USA;1;O;6:32.689;23.862;Men;;0;60
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;5000m_Men_Division_B;5000;25.0;18;Aimé_Perreault;CAN;2;I;6:34.441;25.614;Men;;480;540
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;5000m_Men_Division_B;5000;26.0;131;Jonathan_Tobon;USA;2;O;6:35.652;26.825;Men;;480;540
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;5000m_Men_Division_B;5000;27.0;120;Lukas_Stekly;SVK;2;O;6:39.829;31.002;Men;;480;540
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;5000m_Men_Division_B;5000;28.0;128;Carl_Platt;USA;1;I;6:47.310;38.483;Men;;0;60
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;5000m_Men_Division_B;5000;;35;Viktor Hald_Thorup;DEN;6;O;6:16.851;;Men;;2400;2460
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;5000m_Men_Division_B;5000;;105;Peter_Michael;NZL;3;O;6:28.517;;Men;;960;1020
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Women_Division_B;1000;1.0;230;Nikola_Zdráhalova;CZE;9;O;1:14.969;0.000;Women;;1320;1380
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Women_Division_B;1000;2.0;241;Anna_Ostlender;GER;11;O;1:15.067;0.098;Women;;1650;1710
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Women_Division_B;1000;3.0;298;Greta_Myers;USA;11;I;1:15.909;0.940;Women;;1650;1710
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Women_Division_B;1000;4.0;246;Giorgia_Aiello;ITA;5;I;1:15.978;1.009;Women;;660;720
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Women_Division_B;1000;5.0;290;Kaitlyn_McGregor;SUI;10;I;1:16.288;1.319;Women;;1485;1545
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Women_Division_B;1000;6.0;210;Rose_Laliberte-Roy;CAN;8;I;1:16.506;1.537;Women;;1155;1215
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Women_Division_B;1000;7.0;206;Fran_Vanhoutte;BEL;5;O;1:16.626;1.657;Women;;660;720
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Women_Division_B;1000;8.0;299;Chrysta_Rands-Evans;USA;8;O;1:16.677;1.708;Women;;1155;1215
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Women_Division_B;1000;9.0;238;Marlen_Ehseluns;GER;4;O;1:16.792;1.823;Women;;495;555
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Women_Division_B;1000;10.0;237;Ellia_Smeding;GBR;6;I;1:16.987;2.018;Women;;825;885
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Women_Division_B;1000;11.0;287;Kaja_Ziomek-Nogal;POL;7;I;1:17.125;2.156;Women;;990;1050
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Women_Division_B;1000;12.0;224;Meng_Xu;CHN;3;O;1:17.273;2.304;Women;;330;390
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Women_Division_B;1000;13.0;223;Dongxue_Xi;CHN;6;O;1:17.374;2.405;Women;;825;885
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Women_Division_B;1000;14.0;215;Maddison_Pearman;CAN;9;I;1:17.415;2.446;Women;;1320;1380
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Women_Division_B;1000;15.0;278;Julie Nistad_Samsonsen;NOR;10;O;1:17.571;2.602;Women;;1485;1545
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Women_Division_B;1000;16.0;214;Abigail_Mccluskey;CAN;7;O;1:17.572;2.603;Women;;990;1050
